DateTime,In_Flow,In_Angle,In_Temp,Out_Temp,In_Pressure,Viscosity,Humidity,Rot_Speed,Valve_Opening,Tank_%,Out_Speed,Thickness,Vibration,Col_density,Oxygen,Quality_type
2021-01-01 00:00,1.41,0.4,0.27,-0.31,1.75,-0.93,0.09,1.85,-0.71,-1.5,0.48,-0.65,0.55,-1.4,0.42,Premium
2021-01-01 01:00,-1.41,-0.02,-0.52,-1.83,-3.13,-0.52,-2.04,-1.16,0.25,-0.88,1.18,0.36,-2.94,0.42,-0.1,Premium
2021-01-01 02:00,0.29,0.67,-0.36,-0.01,-1.93,0.33,-0.51,0.72,-0.72,-0.58,2.02,0.92,-3.23,1.48,1.11,Rejected
2021-01-01 03:00,2.98,1,-1.19,-0.8,1.72,0.49,2.45,1.16,2.56,0.69,0.5,-0.6,-2.09,-2.03,-1.34,Rejected
2021-01-01 04:00,0.27,1.92,-0.37,0.16,0.95,-1.29,-0.6,1.31,0.79,-1.25,-1.35,-0.82,1.34,-1.05,-1.17,Premium
2021-01-01 05:00,1.75,-0.5,-0.05,-1.58,1.21,0.11,0.78,0.51,-0.45,-0.87,-0.97,-0.17,0.2,-0.55,0.1,Premium
2021-01-01 06:00,-2.89,-0.11,-0.74,0.44,0.02,0.66,0.82,-4.79,0.63,3.38,0.08,0.35,-0.91,1.76,0.41,Premium
2021-01-01 07:00,-0.39,-0.18,1.21,2.11,1.01,0.92,0.89,-0.14,1.27,1.23,0.15,-0.34,-0.04,1.33,1.19,Approved
2021-01-01 08:00,1.04,-0.91,0.77,1.32,0.83,1.2,1.81,0.17,1.15,1.19,0.5,0.49,-1.06,2.01,-2.63,Approved
2021-01-01 09:00,0.69,-1.34,0.76,0.27,1.56,0.42,-1.11,2.59,-0.42,-2.51,-0.77,1.65,2.14,-1.4,0.08,Premium
2021-01-01 10:00,0.36,-1.36,-1.4,-1.02,0.23,-0.43,0.6,-1.03,2.1,0.16,0.31,-0.02,0.22,1.1,0.85,Approved
2021-01-01 11:00,2.04,1.48,0.83,-4.14,-1.13,-0.61,-0.47,0.06,-1.26,-2.88,-0.86,-0.71,1.51,2.07,-1.3,Rejected
2021-01-01 12:00,-0.27,-1.55,1.17,2.04,1.11,0.19,-0.06,1.36,-0.28,0.21,-0.26,0.65,-1.05,-1.33,2.87,Approved
2021-01-01 13:00,1.07,0.14,-1.13,4.62,4.31,0.63,-0.25,4.98,-1.48,-2.78,0.99,-1.83,-0.69,1.76,-0.7,Approved
